word,sentiment
perfección,positivo
novedad,positivo
ilustración,positivo
cumplido,positivo
impulsar,positivo
hermoso,positivo
aclarar,positivo
ilustre,positivo
claridad,positivo
sabiduría,positivo
distinguido,positivo
divino,positivo
mono,positivo
solidaridad,positivo
facilita,positivo
amo,positivo
legítimo,positivo
libertades,positivo
cariño,positivo
garantía,positivo
animado,positivo
bello,positivo
penetración,positivo
creativo,positivo
práctico,positivo
educado,positivo
sabio,positivo
leal,positivo
renovado,positivo
balas,positivo
gratuito,positivo
delgado,positivo
inocente,positivo
heroína,positivo
ambicioso,positivo
ingenio,positivo
calificado,positivo
merced,positivo
afecto,positivo
premiado,positivo
bienvenida,positivo
fértil,positivo
probado,positivo
flexible,positivo
ahorro,positivo
informativo,positivo
super,positivo
basta,positivo
satisfacción,positivo
dinámico,positivo
justamente,positivo
recomendación,positivo
marchar,positivo
emoción,positivo
valioso,positivo
respetar,positivo
gustos,positivo
ídolo,positivo
sostenible,positivo
diversión,positivo
favorecer,positivo
prometido,positivo
tranquilidad,positivo
entendido,positivo
valiente,positivo
agradecimiento,positivo
aprobar,positivo
cargado,positivo
resuelto,positivo
amable,positivo
garantías,positivo
promesas,positivo
creativa,positivo
transparente,positivo
suceder,positivo
recomendaciones,positivo
paraíso,positivo
tranquilo,positivo
elevar,positivo
preferencias,positivo
milagro,positivo
trompeta,positivo
pastel,positivo
afinidad,positivo
preferido,positivo
innovador,positivo
fiable,positivo
reclamar,positivo
curar,positivo
restablecer,positivo
afán,positivo
reestructuración,positivo
patriota,positivo
digno,positivo
floración,positivo
aspiraciones,positivo
calma,positivo
gradual,positivo
estímulo,positivo
bonus,positivo
modesto,positivo
remedio,positivo
autorizado,positivo
inmenso,positivo
originalidad,positivo
crianza,positivo
limpiar,positivo
portátil,positivo
flexibilidad,positivo
profundidades,positivo
razonable,positivo
consorcio,positivo
conveniencia,positivo
adoración,positivo
hábil,positivo
poético,positivo
energético,positivo
magnífico,positivo
colorido,positivo
gratis,positivo
productiva,positivo
firmemente,positivo
erudito,positivo
recomendable,positivo
fantástico,positivo
lírico,positivo
aclamado,positivo
ganancia,positivo
progresista,positivo
maduro,positivo
coherente,positivo
afluencia,positivo
piedad,positivo
exitosamente,positivo
supremacía,positivo
impresionado,positivo
cooperativa,positivo
prestación,positivo
competitivo,positivo
prendas,positivo
apreciado,positivo
sobresaliente,positivo
rosado,positivo
productivo,positivo
limpio,positivo
amada,positivo
íntimo,positivo
divertido,positivo
mejoramiento,positivo
sumo,positivo
bendición,positivo
seguidor,positivo
asegurando,positivo
disminuido,positivo
indiscutible,positivo
love,positivo
descansar,positivo
profecía,positivo
pacífico,positivo
disfruta,positivo
aliviar,positivo
sustancial,positivo
valentía,positivo
sustento,positivo
milagros,positivo
comodidad,positivo
entusiasta,positivo
destreza,positivo
acoger,positivo
reconciliación,positivo
cláusula,positivo
acreditado,positivo
curación,positivo
boom,positivo
cuadra,positivo
obsesión,positivo
palanca,positivo
perpendicular,positivo
memorable,positivo
motivado,positivo
reformar,positivo
prenda,positivo
multa,positivo
victorioso,positivo
prolífico,positivo
liderar,positivo
liso,positivo
joya,positivo
amado,positivo
revivir,positivo
veracidad,positivo
sustantivo,positivo
óptimo,positivo
reformado,positivo
grandeza,positivo
elegancia,positivo
humorístico,positivo
barato,positivo
estimular,positivo
amoroso,positivo
sonrisa,positivo
confiar,positivo
sensaciones,positivo
alba,positivo
simplificado,positivo
genial,positivo
excepcionalmente,positivo
paciencia,positivo
sano,positivo
amar,positivo
recomendado,positivo
óptima,positivo
asegurado,positivo
maravilloso,positivo
surrealista,positivo
orgulloso,positivo
apasionado,positivo
superviviente,positivo
triunfal,positivo
coraje,positivo
sobreviviente,positivo
competente,positivo
apelación,positivo
actualizado,positivo
aspiración,positivo
maravillas,positivo
abogada,positivo
calificar,positivo
robusto,positivo
favorecido,positivo
compacta,positivo
satisfecho,positivo
coherencia,positivo
devolución,positivo
provecho,positivo
aspirante,positivo
admirador,positivo
triunfar,positivo
trance,positivo
festivo,positivo
previsión,positivo
cómodo,positivo
like,positivo
suprema,positivo
valorar,positivo
navegable,positivo
best,positivo
sencillamente,positivo
agilidad,positivo
consecuentemente,positivo
ordenanza,positivo
ágil,positivo
disfrute,positivo
solid,positivo
versatilidad,positivo
bondad,positivo
carisma,positivo
free,positivo
medido,positivo
privilegiado,positivo
oasis,positivo
res,positivo
susceptible,positivo
trascendental,positivo
facilitando,positivo
sorprendentemente,positivo
bovino,positivo
enmienda,positivo
enriquecimiento,positivo
alivio,positivo
animar,positivo
progresos,positivo
guiar,positivo
ahorros,positivo
futurista,positivo
agrado,positivo
abrazo,positivo
bonito,positivo
honrar,positivo
formidable,positivo
honrado,positivo
oportuno,positivo
finamente,positivo
admirar,positivo
intimidad,positivo
ardiente,positivo
eminente,positivo
elite,positivo
aventurero,positivo
extraordinariamente,positivo
súper,positivo
subsiguiente,positivo
confiable,positivo
constructivo,positivo
preferible,positivo
complementar,positivo
refinado,positivo
generosidad,positivo
saludable,positivo
distinguirse,positivo
contento,positivo
factible,positivo
manada,positivo
sobrepasar,positivo
optimista,positivo
exento,positivo
moralidad,positivo
exuberante,positivo
propicio,positivo
luminoso,positivo
máster,positivo
excitación,positivo
caluroso,positivo
generoso,positivo
fielmente,positivo
devoto,positivo
versátil,positivo
virtuoso,positivo
buey,positivo
cortesía,positivo
gratitud,positivo
fervor,positivo
encender,positivo
borra,positivo
profusamente,positivo
disolvente,positivo
eternidad,positivo
preventiva,positivo
heroico,positivo
articular,positivo
prometedor,positivo
sensual,positivo
asombro,positivo
humildad,positivo
acierto,positivo
intriga,positivo
sofisticado,positivo
articulado,positivo
calmar,positivo
complementos,positivo
apreciable,positivo
sensiblemente,positivo
ajustado,positivo
instantáneamente,positivo
apego,positivo
prudente,positivo
estimula,positivo
afección,positivo
exaltación,positivo
abunda,positivo
pintoresco,positivo
perfeccionar,positivo
próspero,positivo
emocionante,positivo
estabilizar,positivo
cordial,positivo
madurar,positivo
celestial,positivo
satisface,positivo
alcohólico,positivo
curado,positivo
sexy,positivo
gozar,positivo
fascinación,positivo
ferviente,positivo
lujoso,positivo
escénico,positivo
inoxidable,positivo
triunfante,positivo
suavemente,positivo
prefiriendo,positivo
equilibrado,positivo
increíblemente,positivo
deseable,positivo
floreciente,positivo
simplificar,positivo
calentar,positivo
tremendamente,positivo
honestidad,positivo
sostenibilidad,positivo
eficazmente,positivo
espontáneo,positivo
complementario,positivo
inolvidable,positivo
diestro,positivo
disfrutando,positivo
respetable,positivo
encantado,positivo
superintendente,positivo
amistosa,positivo
mejoría,positivo
refinamiento,positivo
optimismo,positivo
selectivo,positivo
alabanza,positivo
redención,positivo
talentoso,positivo
prudencia,positivo
precioso,positivo
ayuno,positivo
simpático,positivo
diana,positivo
convincente,positivo
vigilante,positivo
amigable,positivo
aclamación,positivo
adelantar,positivo
pacíficamente,positivo
admirable,positivo
misericordia,positivo
impecable,positivo
conciliar,positivo
indudable,positivo
convenientemente,positivo
rapto,positivo
aspirar,positivo
maravilla,positivo
consuelo,positivo
prodigio,positivo
suposición,positivo
master,positivo
excede,positivo
indulto,positivo
heredar,positivo
exhaustivo,positivo
benéfico,positivo
satisfactoriamente,positivo
honesto,positivo
vibrante,positivo
elogio,positivo
uniformemente,positivo
coronar,positivo
agradecido,positivo
carismático,positivo
honorable,positivo
enérgico,positivo
tenaz,positivo
merecedor,positivo
estimulante,positivo
auspicio,positivo
prominencia,positivo
patriótico,positivo
florecer,positivo
consumado,positivo
expresivo,positivo
sustentación,positivo
fragilidad,positivo
ingenioso,positivo
ricamente,positivo
cofre,positivo
beneficioso,positivo
confidente,positivo
éxtasis,positivo
respaldar,positivo
progresar,positivo
profusión,positivo
gracioso,positivo
benefactor,positivo
premiar,positivo
cooperativo,positivo
glorioso,positivo
caramelo,positivo
empujar,positivo
fascinante,positivo
invencible,positivo
ilimitado,positivo
permitirse,positivo
comprensible,positivo
majestad,positivo
deseando,positivo
milagrosamente,positivo
afortunadamente,positivo
atento,positivo
pera,positivo
sincero,positivo
sublime,positivo
razonablemente,positivo
satisfactorio,positivo
empatía,positivo
exquisito,positivo
silencioso,positivo
agradecer,positivo
obertura,positivo
nata,positivo
emprendedor,positivo
autorizar,positivo
serenidad,positivo
festejar,positivo
diligencia,positivo
guapo,positivo
librar,positivo
iluminar,positivo
predilecto,positivo
enriquecer,positivo
prosperar,positivo
decente,positivo
pulido,positivo
sustentar,positivo
genuino,positivo
felizmente,positivo
vocero,positivo
hot,positivo
beneficiar,positivo
salvador,positivo
impresionar,positivo
resplandor,positivo
creíble,positivo
atrevido,positivo
estilizado,positivo
venia,positivo
sinceridad,positivo
luchadora,positivo
hospitalario,positivo
hábilmente,positivo
tierno,positivo
benigno,positivo
radiante,positivo
galán,positivo
eficientemente,positivo
euforia,positivo
sinceramente,positivo
imparcial,positivo
majestuoso,positivo
apacible,positivo
grandioso,positivo
fair,positivo
alentar,positivo
work,positivo
exceder,positivo
condimento,positivo
cómodamente,positivo
lindo,positivo
adivinación,positivo
espléndido,positivo
minucioso,positivo
apoyarse,positivo
preferiblemente,positivo
afortunado,positivo
elocuencia,positivo
premier,positivo
disfrutado,positivo
entretener,positivo
minuciosamente,positivo
ventilador,positivo
lucir,positivo
amabilidad,positivo
solvencia,positivo
revive,positivo
despejar,positivo
brillantez,positivo
brillar,positivo
tender,positivo
personalizado,positivo
sancionar,positivo
abrazar,positivo
verificable,positivo
recomendar,positivo
preferir,positivo
good,positivo
complementado,positivo
cabezal,positivo
regio,positivo
apuesto,positivo
vivaz,positivo
delicadeza,positivo
peluche,positivo
felicitaciones,positivo
taquillera,positivo
agrada,positivo
apelar,positivo
encantador,positivo
grand,positivo
adivinar,positivo
visionario,positivo
asombroso,positivo
ovación,positivo
establo,positivo
inspirar,positivo
preguntarse,positivo
bonificación,positivo
dulzura,positivo
entrañable,positivo
cortés,positivo
respetuoso,positivo
intuitivo,positivo
granizo,positivo
cenit,positivo
asequible,positivo
lucrativo,positivo
prometedora,positivo
confidencial,positivo
meritorio,positivo
fructífero,positivo
adorar,positivo
revitalizar,positivo
inspirador,positivo
reafirmar,positivo
júbilo,positivo
imparcialidad,positivo
guapa,positivo
esclarecer,positivo
elocuente,positivo
adorado,positivo
relajado,positivo
modestia,positivo
diversificado,positivo
triunfador,positivo
perseverancia,positivo
saludar,positivo
sanar,positivo
brisa,positivo
reverencia,positivo
remediar,positivo
cariñoso,positivo
acaudalado,positivo
irresistible,positivo
francamente,positivo
beato,positivo
emocionado,positivo
simplifica,positivo
rematar,positivo
razonar,positivo
poderosamente,positivo
well,positivo
convencimiento,positivo
purificar,positivo
morder,positivo
vencimiento,positivo
motivar,positivo
cereza,positivo
respiro,positivo
beneficiario,positivo
remisión,positivo
afilado,positivo
ración,positivo
prometer,positivo
complacer,positivo
ávido,positivo
despejado,positivo
elitista,positivo
calmado,positivo
rectificación,positivo
comprimir,positivo
stable,positivo
retráctil,positivo
confortable,positivo
alzar,positivo
inexpugnable,positivo
entretenido,positivo
puntiagudo,positivo
amablemente,positivo
irreal,positivo
fabuloso,positivo
milagroso,positivo
ansia,positivo
trascender,positivo
refrescante,positivo
incitar,positivo
honradez,positivo
esbelto,positivo
bravo,positivo
radiador,positivo
pináculo,positivo
destello,positivo
adinerado,positivo
altruista,positivo
suavizar,positivo
crujiente,positivo
feat,positivo
exaltado,positivo
soft,positivo
desprendido,positivo
aurora,positivo
gozo,positivo
seductor,positivo
realzar,positivo
durazno,positivo
laudo,positivo
bienvenido,positivo
protuberancia,positivo
sobresalir,positivo
esmero,positivo
ventajoso,positivo
tallar,positivo
inventiva,positivo
veraz,positivo
firmamento,positivo
venerar,positivo
utilizable,positivo
sensacional,positivo
brillantemente,positivo
alabando,positivo
excitado,positivo
cool,positivo
sonriente,positivo
deleite,positivo
curarse,positivo
resguardado,positivo
estupendo,positivo
desmontar,positivo
valientemente,positivo
hermosura,positivo
generosamente,positivo
delicioso,positivo
súpero,positivo
talentosa,positivo
felicitación,positivo
certero,positivo
adaptable,positivo
legible,positivo
inquebrantable,positivo
entusiasmado,positivo
legítimamente,positivo
bondadoso,positivo
clarificar,positivo
magnificencia,positivo
armonizar,positivo
presagio,positivo
decretar,positivo
callado,positivo
eminencia,positivo
laborioso,positivo
impresionada,positivo
garante,positivo
revival,positivo
inteligible,positivo
reestructurar,positivo
manjar,positivo
angel,positivo
ventiladores,positivo
melocotón,positivo
trompo,positivo
sociable,positivo
intrigante,positivo
consistentemente,positivo
recompensar,positivo
absorbente,positivo
dócil,positivo
asombrado,positivo
benevolencia,positivo
respalda,positivo
providencia,positivo
realce,positivo
merecer,positivo
inestimable,positivo
incuestionable,positivo
alegremente,positivo
won,positivo
nitidez,positivo
callar,positivo
apasionadamente,positivo
deslumbrante,positivo
regocijo,positivo
afable,positivo
audible,positivo
suntuoso,positivo
indulgencia,positivo
gustar,positivo
gold,positivo
manejable,positivo
seducido,positivo
panorámico,positivo
despuntar,positivo
fraternal,positivo
obediente,positivo
bendecir,positivo
acomodado,positivo
infalible,positivo
rectificar,positivo
perdurable,positivo
florido,positivo
fideicomiso,positivo
consumar,positivo
conllevar,positivo
sólidamente,positivo
impresiona,positivo
heroicamente,positivo
galante,positivo
valeroso,positivo
felicitar,positivo
refinar,positivo
adorable,positivo
tapadera,positivo
incondicionalmente,positivo
envidiable,positivo
embellecer,positivo
acogedor,positivo
preeminente,positivo
palaciego,positivo
lean,positivo
idealmente,positivo
estirar,positivo
inequívocamente,positivo
equitativo,positivo
adueñarse,positivo
conmovedor,positivo
intrincado,positivo
bellamente,positivo
great,positivo
obsesiones,positivo
radioactivo,positivo
bienvenidos,positivo
imaginativo,positivo
franqueza,positivo
osado,positivo
exaltar,positivo
recio,positivo
lustre,positivo
grato,positivo
ajustable,positivo
portable,positivo
led,positivo
invulnerable,positivo
camote,positivo
quieto,positivo
prodigioso,positivo
pegadizo,positivo
exuberancia,positivo
meticulosamente,positivo
espacioso,positivo
conciliador,positivo
adaptativo,positivo
fermentar,positivo
fenomenal,positivo
pródigo,positivo
equitativamente,positivo
termonuclear,positivo
jovial,positivo
alabar,positivo
espectacularmente,positivo
conciso,positivo
simplificando,positivo
armonioso,positivo
resplandeciente,positivo
delicia,positivo
angelical,positivo
meticuloso,positivo
idol,positivo
ready,positivo
aplazar,positivo
desmontable,positivo
receptivo,positivo
sensato,positivo
lúcido,positivo
amortización,positivo
terminantemente,positivo
rebasar,positivo
admiradora,positivo
incisivo,positivo
magníficamente,positivo
fast,positivo
survival,positivo
bonificaciones,positivo
complacido,positivo
afectuoso,positivo
sabroso,positivo
better,positivo
augurio,positivo
provechoso,positivo
decencia,positivo
abogar,positivo
support,positivo
adjudicar,positivo
saborear,positivo
idílico,positivo
sabiamente,positivo
pacientemente,positivo
happy,positivo
enhorabuena,positivo
espaldarazo,positivo
grácil,positivo
intrépido,positivo
metódico,positivo
placentero,positivo
juguetón,positivo
divertir,positivo
complacencia,positivo
expansivo,positivo
entendible,positivo
atrevimiento,positivo
tranquilizar,positivo
amistosamente,positivo
agraciado,positivo
important,positivo
elegantemente,positivo
works,positivo
revolucionar,positivo
modern,positivo
lucio,positivo
fun,positivo
sagaz,positivo
reintegrado,positivo
maravillosamente,positivo
afirmativo,positivo
maniobrable,positivo
estabilizarse,positivo
refrescar,positivo
deferencia,positivo
compasivo,positivo
tentar,positivo
progressive,positivo
masters,positivo
imbatible,positivo
encendedor,positivo
brillando,positivo
pudiente,positivo
caballeresco,positivo
ahínco,positivo
vencejo,positivo
subvencionado,positivo
redimir,positivo
excitar,positivo
excedido,positivo
sweet,positivo
sonreír,positivo
cortejar,positivo
caballerosidad,positivo
adelantamiento,positivo
sonrisas,positivo
espumoso,positivo
lead,positivo
infalibilidad,positivo
románticamente,positivo
caritativo,positivo
empoderamiento,positivo
redentor,positivo
inequívoco,positivo
gratificación,positivo
prosperando,positivo
sosiego,positivo
regulable,positivo
gratificante,positivo
evocador,positivo
glorificar,positivo
reembolso,positivo
razonado,positivo
limpiador,positivo
enderezar,positivo
invaluable,positivo
hilarante,positivo
perspicaz,positivo
geek,positivo
entretiene,positivo
easy,positivo
consolar,positivo
avalar,positivo
indulgente,positivo
avidez,positivo
magro,positivo
loable,positivo
asombrosamente,positivo
diligente,positivo
golosina,positivo
inteligentemente,positivo
honrando,positivo
retocar,positivo
endeudado,positivo
reestructurado,positivo
individualizado,positivo
franquear,positivo
cure,positivo
trust,positivo
talent,positivo
alcanzable,positivo
excita,positivo
cuantioso,positivo
revolucionado,positivo
respetuosamente,positivo
available,positivo
fragante,positivo
instructivo,positivo
benévolo,positivo
enough,positivo
durable,positivo
saint,positivo
excelentemente,positivo
elogiar,positivo
pros,positivo
fiduciario,positivo
fanfarria,positivo
ofertar,positivo
servicial,positivo
reanimar,positivo
mechero,positivo
certidumbre,positivo
adorando,positivo
perspicacia,positivo
nutrir,positivo
esperanzador,positivo
encomiable,positivo
cautivar,positivo
fine,positivo
atestiguar,positivo
afectuosamente,positivo
fiar,positivo
award,positivo
apuntalar,positivo
strong,positivo
afirmativamente,positivo
advanced,positivo
admirablemente,positivo
nítido,positivo
gustoso,positivo
calurosamente,positivo
barriendo,positivo
ardientemente,positivo
aleteo,positivo
perfect,positivo
peonza,positivo
felpa,positivo
sentenciar,positivo
privilegiar,positivo
efusión,positivo
win,positivo
magic,positivo
lustroso,positivo
aplaudir,positivo
alentador,positivo
razonada,positivo
dulcemente,positivo
cuerdo,positivo
ganga,positivo
tolerable,positivo
clear,positivo
misericordioso,positivo
beautiful,positivo
ponderar,positivo
pensativo,positivo
alistar,positivo
aclararse,positivo
permisible,positivo
limpiamente,positivo
vívido,positivo
atónito,positivo
melodioso,positivo
exquisitamente,positivo
armoniosamente,positivo
prudentemente,positivo
ondear,positivo
chic,positivo
subvencionar,positivo
pum,positivo
en,negativo
para,negativo
sin,negativo
tiempo,negativo
bajo,negativo
varios,negativo
tipo,negativo
largo,negativo
solo,negativo
muerte,negativo
tierra,negativo
carrera,negativo
casi,negativo
pesar,negativo
mucho,negativo
puesto,negativo
color,negativo
mar,negativo
resto,negativo
discusión,negativo
paso,negativo
alto,negativo
problemas,negativo
situación,negativo
pequeño,negativo
aproximadamente,negativo
dado,negativo
lucha,negativo
interés,negativo
sitio,negativo
división,negativo
niños,negativo
ataque,negativo
baja,negativo
aire,negativo
restos,negativo
canal,negativo
pasado,negativo
falta,negativo
problema,negativo
evitar,negativo
puerto,negativo
propiedad,negativo
piedra,negativo
objeto,negativo
negro,negativo
jugar,negativo
mal,negativo
ir,negativo
usado,negativo
corte,negativo
crítica,negativo
enfermedad,negativo
inferior,negativo
verde,negativo
crisis,negativo
terreno,negativo
contrario,negativo
conflicto,negativo
resistencia,negativo
carga,negativo
regreso,negativo
pobreza,negativo
dejar,negativo
oposición,negativo
caída,negativo
apenas,negativo
corriente,negativo
límite,negativo
pérdida,negativo
golpe,negativo
ataques,negativo
muerto,negativo
corto,negativo
cambiar,negativo
plano,negativo
recibir,negativo
invasión,negativo
entrega,negativo
accidente,negativo
duda,negativo
enorme,negativo
límites,negativo
enemigo,negativo
ficción,negativo
asesinato,negativo
muertos,negativo
batería,negativo
enemigos,negativo
peligro,negativo
prisión,negativo
solar,negativo
riesgo,negativo
abandonar,negativo
cuestión,negativo
particularmente,negativo
perdido,negativo
error,negativo
tocar,negativo
perder,negativo
